age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks,id
22,single,m,straight,a little extra,strictly anything,socially,never,working on college/university,"asian, white",75.0,-1,transportation,2012-06-28-20-30,"south san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and very serious about it,gemini,sometimes,english,0
35,single,m,straight,average,mostly other,often,sometimes,working on space camp,white,70.0,80000,hospitality / travel,2012-06-29-21-41,"oakland, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism but not too serious about it,cancer,no,"english (fluently), spanish (poorly), french (poorly)",1
31,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,65.0,-1,artistic / musical / writer,2012-06-29-12-30,"san francisco, california","doesn't have kids, but wants them",likes dogs and likes cats,christianity,sagittarius,no,"english, spanish (okay)",7
29,single,f,straight,thin,mostly anything,socially,never,working on college/university,"hispanic / latin, white",62.0,50000,other,2012-06-29-08-55,"san leandro, california","doesn't have kids, but wants them",likes dogs and has cats,catholicism,taurus,no,english,14
33,single,m,straight,athletic,mostly anything,socially,never,graduated from masters program,white,72.0,-1,science / tech / engineering,2012-06-27-21-41,"san francisco, california",doesn't have kids,likes dogs and likes cats,catholicism but not too serious about it,pisces and it&rsquo;s fun to think about,no,english (fluently),19
30,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,white,69.0,-1,executive / management,2012-06-28-15-22,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and somewhat serious about it,sagittarius but it doesn&rsquo;t matter,no,"english, spanish (poorly)",22
32,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,white,69.0,-1,science / tech / engineering,2012-06-28-09-28,"san francisco, california","doesn't have kids, but wants them",likes dogs and dislikes cats,buddhism but not too serious about it,cancer and it&rsquo;s fun to think about,when drinking,"english (fluently), spanish (fluently)",36
29,single,f,bisexual,curvy,anything,socially,sometimes,graduated from masters program,white,66.0,-1,other,2012-06-10-13-28,"san francisco, california",doesn't have kids,has cats,other,aquarius and it&rsquo;s fun to think about,no,"english, spanish (poorly), portuguese (poorly)",44
26,single,f,straight,athletic,mostly anything,socially,never,graduated from college/university,white,66.0,-1,science / tech / engineering,2012-06-28-07-59,"belmont, california",doesn't have kids,likes dogs and likes cats,other but not too serious about it,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",49
35,single,m,straight,athletic,mostly anything,socially,sometimes,graduated from space camp,"native american, white",73.0,150000,artistic / musical / writer,2012-06-29-00-25,"emeryville, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and very serious about it,pisces and it&rsquo;s fun to think about,no,"english (poorly), spanish (poorly)",72
29,single,m,straight,fit,mostly anything,socially,sometimes,graduated from college/university,white,67.0,40000,artistic / musical / writer,2012-05-28-15-18,"san francisco, california",doesn't want kids,likes dogs and likes cats,agnosticism and very serious about it,libra,no,english (fluently),94
31,single,f,straight,curvy,anything,socially,sometimes,graduated from masters program,white,66.0,-1,executive / management,2012-06-29-06-59,"san francisco, california","doesn't have kids, but might want them",likes dogs,atheism,pisces,no,english (fluently),98
42,single,f,straight,fit,mostly anything,socially,never,graduated from masters program,white,65.0,-1,education / academia,2012-06-29-22-35,"mountain view, california",has kids,likes dogs,judaism,aries but it doesn&rsquo;t matter,no,"english (fluently), french (poorly), hebrew (okay), yiddish (poorly)",105
45,single,f,straight,fit,mostly anything,socially,never,graduated from masters program,asian,64.0,-1,executive / management,2012-06-24-20-20,"menlo park, california",doesn't have kids,likes dogs,agnosticism and laughing about it,aries but it doesn&rsquo;t matter,no,english (fluently),106
23,single,f,straight,curvy,mostly anything,rarely,never,working on college/university,"black, native american, hispanic / latin",66.0,20000,other,2012-06-28-18-40,"san francisco, california",has a kid,likes dogs and likes cats,other,capricorn and it&rsquo;s fun to think about,when drinking,english (fluently),113
55,single,m,straight,athletic,anything,not at all,never,dropped out of college/university,white,67.0,-1,construction / craftsmanship,2012-02-09-23-34,"alameda, california",has kids,likes dogs and likes cats,other but not too serious about it,leo,no,"english (fluently), spanish (fluently), japanese (poorly)",117
50,single,m,straight,fit,mostly anything,socially,never,graduated from two-year college,white,75.0,-1,unemployed,2012-06-09-23-55,"vallejo, california",has kids,dislikes dogs and has cats,christianity and somewhat serious about it,gemini but it doesn&rsquo;t matter,no,"english (fluently), tagalog (poorly)",121
21,single,m,straight,thin,strictly anything,socially,often,working on space camp,"hispanic / latin, white",70.0,1000000,medicine / health,2012-06-29-17-01,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs,atheism and laughing about it,sagittarius and it&rsquo;s fun to think about,sometimes,english,123
26,single,m,straight,average,anything,often,never,dropped out of space camp,white,71.0,-1,computer / hardware / software,2012-06-30-00-05,"san francisco, california",doesn't want kids,likes dogs and likes cats,atheism and laughing about it,libra,trying to quit,english,128
50,single,m,straight,average,mostly anything,often,never,college/university,white,73.0,80000,transportation,2012-06-29-21-54,"benicia, california",doesn't want kids,has cats,other,libra,no,english,137
59,single,m,straight,fit,anything,socially,never,graduated from masters program,white,73.0,80000,other,2011-08-15-09-32,"daly city, california",doesn't want kids,likes dogs and likes cats,other,libra and it&rsquo;s fun to think about,no,"english (fluently), english",141
26,single,f,gay,curvy,mostly anything,socially,never,working on college/university,"hispanic / latin, white",63.0,20000,sales / marketing / biz dev,2012-06-23-23-10,"berkeley, california","doesn't have kids, but might want them",likes dogs and likes cats,catholicism and laughing about it,gemini and it&rsquo;s fun to think about,no,english,167
26,single,f,straight,fit,mostly anything,socially,never,graduated from college/university,white,68.0,70000,science / tech / engineering,2012-06-18-21-51,"san francisco, california","doesn't have kids, but wants them",likes dogs,agnosticism and laughing about it,sagittarius but it doesn&rsquo;t matter,no,english,168
27,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,white,68.0,-1,computer / hardware / software,2012-05-27-14-46,"walnut creek, california","doesn't have kids, but wants them",likes dogs and has cats,judaism but not too serious about it,virgo but it doesn&rsquo;t matter,no,"english, russian",176
29,single,m,straight,a little extra,mostly halal,often,never,dropped out of high school,white,72.0,250000,artistic / musical / writer,2011-08-23-23-38,"san francisco, california",doesn't want kids,has dogs and dislikes cats,hinduism and very serious about it,cancer and it matters a lot,when drinking,"english (fluently), croatian (fluently), bengali (okay)",177
21,single,f,straight,fit,mostly anything,socially,never,working on college/university,hispanic / latin,66.0,20000,sales / marketing / biz dev,2012-06-26-22-47,"mill valley, california",doesn't have kids,likes dogs and likes cats,catholicism but not too serious about it,aries and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently), french (poorly), portuguese (poorly)",181
