id,ethnicity,religion,sign
0,"asian, white",agnosticism and very serious about it,gemini
1,white,agnosticism but not too serious about it,cancer
7,white,christianity,sagittarius
14,"hispanic / latin, white",catholicism,taurus
19,white,catholicism but not too serious about it,pisces and it&rsquo;s fun to think about
22,white,agnosticism and somewhat serious about it,sagittarius but it doesn&rsquo;t matter
36,white,buddhism but not too serious about it,cancer and it&rsquo;s fun to think about
44,white,other,aquarius and it&rsquo;s fun to think about
49,white,other but not too serious about it,taurus but it doesn&rsquo;t matter
72,"native american, white",agnosticism and very serious about it,pisces and it&rsquo;s fun to think about
94,white,agnosticism and very serious about it,libra
98,white,atheism,pisces
105,white,judaism,aries but it doesn&rsquo;t matter
106,asian,agnosticism and laughing about it,aries but it doesn&rsquo;t matter
113,"black, native american, hispanic / latin",other,capricorn and it&rsquo;s fun to think about
117,white,other but not too serious about it,leo
121,white,christianity and somewhat serious about it,gemini but it doesn&rsquo;t matter
123,"hispanic / latin, white",atheism and laughing about it,sagittarius and it&rsquo;s fun to think about
128,white,atheism and laughing about it,libra
137,white,other,libra
141,white,other,libra and it&rsquo;s fun to think about
167,"hispanic / latin, white",catholicism and laughing about it,gemini and it&rsquo;s fun to think about
168,white,agnosticism and laughing about it,sagittarius but it doesn&rsquo;t matter
176,white,judaism but not too serious about it,virgo but it doesn&rsquo;t matter
177,white,hinduism and very serious about it,cancer and it matters a lot
181,hispanic / latin,catholicism but not too serious about it,aries and it&rsquo;s fun to think about
182,white,agnosticism and laughing about it,leo and it&rsquo;s fun to think about
189,white,agnosticism and somewhat serious about it,virgo but it doesn&rsquo;t matter
195,white,catholicism and somewhat serious about it,capricorn and it&rsquo;s fun to think about
196,hispanic / latin,other,aquarius
201,asian,other but not too serious about it,gemini but it doesn&rsquo;t matter
203,white,agnosticism and very serious about it,gemini but it doesn&rsquo;t matter
211,white,atheism,leo
217,indian,hinduism but not too serious about it,virgo and it&rsquo;s fun to think about
223,white,christianity and somewhat serious about it,aries but it doesn&rsquo;t matter
231,hispanic / latin,christianity,leo
236,white,buddhism but not too serious about it,pisces and it matters a lot
240,asian,christianity but not too serious about it,scorpio and it&rsquo;s fun to think about
242,asian,christianity and somewhat serious about it,aries and it matters a lot
245,black,christianity and very serious about it,scorpio but it doesn&rsquo;t matter
