id,age,status,sex,orientation,body_type,diet,drinks,drugs,education,height,income,offspring,pets,smokes
0,22,0,0,0,2,0,2,0,1,75.0,0,1,0,3
1,35,0,0,0,1,4,3,1,6,70.0,80000,1,0,0
7,31,0,1,0,1,0,2,0,1,65.0,0,1,0,0
14,29,0,1,0,0,0,2,0,1,62.0,50000,1,0,0
19,33,0,0,0,4,0,2,0,2,72.0,0,0,0,0
22,30,0,0,0,4,0,2,0,1,69.0,0,1,0,0
36,32,0,0,0,4,0,2,0,1,69.0,0,1,1,1
44,29,0,1,2,2,0,2,1,2,66.0,0,0,2,0
49,26,0,1,0,4,0,2,0,1,66.0,0,0,0,0
72,35,0,0,0,4,0,2,1,6,73.0,150000,1,0,0
94,29,0,0,0,4,0,2,1,1,67.0,40000,0,0,0
98,31,0,1,0,2,0,2,1,2,66.0,0,1,1,0
105,42,0,1,0,4,0,2,0,2,65.0,0,2,1,0
106,45,0,1,0,4,0,2,0,2,64.0,0,0,1,0
113,23,0,1,0,2,0,1,0,1,66.0,20000,2,0,1
117,55,0,0,0,4,0,0,0,1,67.0,0,2,0,0
121,50,0,0,0,4,0,2,0,1,75.0,0,2,2,0
123,21,0,0,0,0,0,2,2,6,70.0,1000000,0,1,3
128,26,0,0,0,1,0,3,0,6,71.0,0,0,0,2
137,50,0,0,0,1,0,3,0,1,73.0,80000,0,2,0
141,59,0,0,0,4,0,2,0,2,73.0,80000,0,0,0
167,26,0,1,1,2,0,2,0,1,63.0,20000,1,0,0
168,26,0,1,0,4,0,2,0,1,68.0,70000,1,1,0
176,27,0,0,0,4,0,2,0,1,68.0,0,1,0,0
177,29,0,0,0,2,2,3,0,0,72.0,250000,0,1,1
181,21,0,1,0,4,0,2,0,1,66.0,20000,0,0,0
182,27,0,1,0,2,0,3,0,1,68.0,0,0,0,0
189,37,0,0,0,4,0,0,0,1,79.0,50000,1,0,0
195,32,0,1,0,2,0,2,0,2,63.0,0,1,1,3
196,28,0,0,0,4,0,2,1,2,67.0,0,0,0,2
201,28,0,0,0,4,0,2,0,1,67.0,0,1,1,0
203,31,0,1,0,4,0,2,0,3,63.0,0,1,0,1
211,33,0,0,0,1,0,1,0,1,72.0,0,0,0,0
217,43,0,1,0,0,0,2,0,2,65.0,0,2,0,0
223,42,0,1,0,4,0,2,0,6,63.0,0,2,0,0
231,50,0,1,0,0,0,2,0,1,66.0,0,2,1,0
236,53,0,1,2,4,0,2,1,2,62.0,100000,2,1,1
240,35,0,0,0,1,4,1,0,1,67.0,30000,1,1,0
